****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 544, total reward -609.4661319567078
episode 545, total reward -377.19128416833735
episode 546, total reward -705.210852183545
episode 547, total reward -477.6162422521616
episode 548, total reward -509.22683390984935
episode 549, total reward -496.9374314622562
episode 550, total reward -578.1555091782371
episode 551, total reward -653.3460324010669
episode 552, total reward -663.1079045028288
episode 553, total reward -531.0397633835688
episode 554, total reward -504.6504816753813
episode 555, total reward -402.5973423829057
episode 556, total reward -455.92901662237
episode 557, total reward -477.75450781082213
episode 558, total reward -470.01072834976617
episode 559, total reward -611.1808091384225
episode 560, total reward -335.53006423300434
start test!
average_test_reward_sum = -527.0350076523321
episode 561, total reward -637.6430903413165
episode 562, total reward -255.04912433833124
episode 563, total reward -631.2393545950749
episode 564, total reward -488.1184511653112
episode 565, total reward -481.4619637741945
episode 566, total reward -288.9706757861025
episode 567, total reward -552.6628934042543
episode 568, total reward -652.4824682688504
episode 569, total reward -532.669442260753
episode 570, total reward -370.2865309753742
episode 571, total reward -484.7425322155712
episode 572, total reward -487.33228102210444
episode 573, total reward -304.6477482196755
episode 574, total reward -361.5941098493313
episode 575, total reward -469.86176889682775
episode 576, total reward -444.9387122063121
episode 577, total reward -579.3604491317568
episode 578, total reward -372.509201816724
episode 579, total reward -361.45192828339134
episode 580, total reward -461.4715071668585
start test!
average_test_reward_sum = -530.6562852309867
episode 581, total reward -251.11028754302743
episode 582, total reward -636.7393640410622
episode 583, total reward -370.4293790443321
episode 584, total reward -419.0161089801045
episode 585, total reward -608.056924368297
episode 586, total reward -600.1476419832574
episode 587, total reward -464.51947080474525
episode 588, total reward -364.6417882297624
episode 589, total reward -689.1735634377966
episode 590, total reward -622.4528789490312
episode 591, total reward -455.743968752224
episode 592, total reward -315.4169719898579
episode 593, total reward -492.25367785252996
episode 594, total reward -368.1656553932344
episode 595, total reward -445.9923040805916
episode 596, total reward -344.05330972474013
episode 597, total reward -583.5794434612303
episode 598, total reward -524.3969623228887
episode 599, total reward -608.9698228541741
episode 600, total reward -458.82773871157724
start test!
average_test_reward_sum = -496.3102450717157
episode 601, total reward -504.07684259256615
episode 602, total reward -489.6225578873062
episode 603, total reward -251.83192901336605
episode 604, total reward -397.74381431159344
episode 605, total reward -622.6004317256517
episode 606, total reward -593.3108240650654
episode 607, total reward -564.5096981820221
episode 608, total reward -296.9018544832055
episode 609, total reward -442.8845048578941
episode 610, total reward -626.499001812406
episode 611, total reward -379.211687934556
episode 612, total reward -361.08494968235965
episode 613, total reward -542.892923196463
