****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
episode 488, total reward -446.539580538594
episode 489, total reward -374.1340444610984
episode 490, total reward -650.1271991687667
episode 491, total reward -461.9261373012405
episode 492, total reward -364.28905831116435
episode 493, total reward -456.47424427985703
episode 494, total reward -632.660981743621
episode 495, total reward -691.6440265806335
episode 496, total reward -679.9873438212425
episode 497, total reward -623.9041406717373
episode 498, total reward -631.0236331738008
episode 499, total reward -663.7270735372015
episode 500, total reward -463.3260223098972
start test!
average_test_reward_sum = -570.7182547839243
episode 501, total reward -517.629344410196
episode 502, total reward -460.93328811249404
episode 503, total reward -455.12943858276947
episode 504, total reward -452.17239715162384
episode 505, total reward -503.25648292884296
episode 506, total reward -388.3181194304073
episode 507, total reward -476.2977210716054
episode 508, total reward -495.81972586030264
episode 509, total reward -694.4681058231611
episode 510, total reward -256.2825514159704
episode 511, total reward -475.24421841732976
episode 512, total reward -389.56751883990955
episode 513, total reward -461.58160226738295
episode 514, total reward -545.4942429638938
episode 515, total reward -470.03874409546466
episode 516, total reward -362.66250679044333
episode 517, total reward -689.9983542876452
episode 518, total reward -379.20331255608875
episode 519, total reward -367.67415108321177
episode 520, total reward -259.6627900648883
start test!
average_test_reward_sum = -568.4624527680091
episode 521, total reward -624.1806933464135
episode 522, total reward -250.59809039841562
episode 523, total reward -450.4020662377863
episode 524, total reward -362.1805105184433
episode 525, total reward -372.5797465781304
episode 526, total reward -495.84008915383106
episode 527, total reward -365.766259017836
episode 528, total reward -454.5175771306596
episode 529, total reward -348.6024552575022
episode 530, total reward -509.09132657124445
episode 531, total reward -489.1532169284342
episode 532, total reward -409.4100723377505
episode 533, total reward -264.0884378809709
episode 534, total reward -356.96184893895065
episode 535, total reward -448.3766508674827
episode 536, total reward -363.25599840073926
episode 537, total reward -536.0397617380464
episode 538, total reward -437.82170396782186
episode 539, total reward -461.8716028765108
episode 540, total reward -493.8458603666382
start test!
average_test_reward_sum = -528.1702803739717
episode 541, total reward -455.19617030486273
episode 542, total reward -611.370361595024
episode 543, total reward -495.6379593273738
episode 544, total reward -378.14906845756894
episode 545, total reward -554.4370718099447
episode 546, total reward -643.0482177500775
episode 547, total reward -688.3566719803404
episode 548, total reward -669.209977382302
episode 549, total reward -132.03488160122768
episode 550, total reward -391.36221054293264
episode 551, total reward -363.9407193577084
episode 552, total reward -354.63875957007076
episode 553, total reward -431.0593854956788
episode 554, total reward -367.70675599984725
episode 555, total reward -471.0158337225282
episode 556, total reward -252.97234266389424
episode 557, total reward -459.5881525003543
episode 558, total reward -619.0530316614372
episode 559, total reward -479.97039928557797
episode 560, total reward -444.83335944961436
start test!
average_test_reward_sum = -507.8355954955229
episode 561, total reward -390.961307025088
episode 562, total reward -555.9562183328628
episode 563, total reward -561.1801467317363
episode 564, total reward -531.3237803283539
episode 565, total reward -367.0908205706004
episode 566, total reward -629.1668903827813
episode 567, total reward -598.3350173893357
episode 568, total reward -502.8351707813766
episode 569, total reward -252.57170830496736
episode 570, total reward -359.5136924265874
episode 571, total reward -363.95130224138796
episode 572, total reward -365.10612257182964
episode 573, total reward -248.86086975062292
episode 574, total reward -364.3924883810374
episode 575, total reward -701.132131515908
episode 576, total reward -352.37083664166755
episode 577, total reward -611.324566677316
episode 578, total reward -363.15987547416
episode 579, total reward -446.86036288246635
episode 580, total reward -563.3984773269499
start test!
average_test_reward_sum = -528.6291650382693
episode 581, total reward -391.0193840513515
episode 582, total reward -490.87855384520816
episode 583, total reward -489.5400859554097
episode 584, total reward -650.3462678449335
episode 585, total reward -674.4300030843252
episode 586, total reward -520.2553635744889
episode 587, total reward -476.58723340062113
episode 588, total reward -508.81251748195905
episode 589, total reward -362.5109358124544
episode 590, total reward -546.9093226556043
episode 591, total reward -463.67244657867946
episode 592, total reward -378.4893460052401
episode 593, total reward -607.2681429506757
episode 594, total reward -469.62699229232055
episode 595, total reward -625.9485000369168
episode 596, total reward -366.0317298779117
episode 597, total reward -632.3788033889961
episode 598, total reward -538.4606707281229
episode 599, total reward -363.60168973081994
episode 600, total reward -628.7516038745243
start test!
average_test_reward_sum = -515.5432492208689
episode 601, total reward -352.9099661717764
episode 602, total reward -498.8195137162767
episode 603, total reward -361.53574822058926
episode 604, total reward -529.8561288984492
episode 605, total reward -659.7162398792505
episode 606, total reward -374.4701602239904
episode 607, total reward -474.1878895583482
episode 608, total reward -551.211822793811
episode 609, total reward -375.4133621724878
episode 610, total reward -503.4231526188394
episode 611, total reward -402.0452843188323
episode 612, total reward -562.3638715138005
episode 613, total reward -444.6471139928189
episode 614, total reward -510.8971444309111
episode 615, total reward -602.9829472563251
episode 616, total reward -506.04249064449544
episode 617, total reward -612.8668593322849
episode 618, total reward -385.8698786409388
episode 619, total reward -541.4943608734374
episode 620, total reward -623.7919278685516
start test!
average_test_reward_sum = -548.7876802557673
episode 621, total reward -362.64386486916897
episode 622, total reward -499.454272637528
episode 623, total reward -361.6781786725431
episode 624, total reward -610.7773335133795
episode 625, total reward -638.2319208460397
episode 626, total reward -545.9350979124557
episode 627, total reward -541.2397346561994
episode 628, total reward -552.2025179000618
episode 629, total reward -379.80224725126084
episode 630, total reward -348.9519535712491
episode 631, total reward -260.00634604297557
episode 632, total reward -652.6207180834923
episode 633, total reward -345.9785774851397
episode 634, total reward -443.19182324412446
episode 635, total reward -661.0627980217716
episode 636, total reward -365.6797598682556
episode 637, total reward -439.61078431272114
episode 638, total reward -257.43962974866105
episode 639, total reward -252.61408886943858
episode 640, total reward -629.6987175814727
start test!
average_test_reward_sum = -575.3106717165588
episode 641, total reward -679.2676753909088
episode 642, total reward -591.1488749522578
episode 643, total reward -161.67258051923986
episode 644, total reward -454.3447701888718
episode 645, total reward -381.5653459899482
episode 646, total reward -606.1845464862562
episode 647, total reward -457.77103049594535
episode 648, total reward -698.2582316342383
episode 649, total reward -476.00255705791324
episode 650, total reward -360.3406501929301
episode 651, total reward -492.99190132825953
episode 652, total reward -556.3366042438084
episode 653, total reward -502.3596633475171
episode 654, total reward -367.4903520842198
episode 655, total reward -463.3227388721619
episode 656, total reward -631.4005980515748
episode 657, total reward -375.32436757438376
episode 658, total reward -588.6811922336237
episode 659, total reward -342.0636414737045
episode 660, total reward -546.7436618281321
start test!
average_test_reward_sum = -491.2912561858695
episode 661, total reward -532.0059376048824
episode 662, total reward -368.7399763404368
episode 663, total reward -260.05040295690645
episode 664, total reward -489.2852239986639
episode 665, total reward -574.7389567268378
episode 666, total reward -383.324637970811
episode 667, total reward -346.4472601822489
episode 668, total reward -254.7300660087554
episode 669, total reward -472.6732298145694
episode 670, total reward -549.835339992571
episode 671, total reward -313.46278696601945
episode 672, total reward -515.0431636272591
episode 673, total reward -606.5815164145404
episode 674, total reward -572.6739376579901
episode 675, total reward -362.95930962026756
episode 676, total reward -377.44677623131713
episode 677, total reward -380.6861748221329
episode 678, total reward -456.5260018665433
episode 679, total reward -486.4584446063712
episode 680, total reward -411.02858284716405
start test!
average_test_reward_sum = -495.32492054461807
episode 681, total reward -584.237787223074
episode 682, total reward -363.8734083165826
episode 683, total reward -374.85182597134394
episode 684, total reward -351.5140919573566
episode 685, total reward -476.0836998145383
episode 686, total reward -469.4704549645719
episode 687, total reward -562.8965821629548
episode 688, total reward -377.21337006740987
episode 689, total reward -597.694646427394
episode 690, total reward -337.5736879014995
episode 691, total reward -365.3427949690646
episode 692, total reward -365.1215500979667
episode 693, total reward -417.4369577687238
episode 694, total reward -460.9654766521863
episode 695, total reward -447.9426879178453
episode 696, total reward -465.33604373232413
episode 697, total reward -466.63387362176854
episode 698, total reward -366.8112994805664
episode 699, total reward -253.85692472491567
episode 700, total reward -458.6687727630974
start test!
average_test_reward_sum = -550.9005228903491
episode 701, total reward -515.6127323849133
episode 702, total reward -328.1507483278404
episode 703, total reward -612.7309665032288
episode 704, total reward -439.9048448300878
episode 705, total reward -266.37775978508756
episode 706, total reward -473.0153633521321
episode 707, total reward -478.74555164076327
episode 708, total reward -532.9620617924733
episode 709, total reward -446.48768431010814
episode 710, total reward -506.8244606527577
episode 711, total reward -674.5508374404635
episode 712, total reward -313.1213202060578
episode 713, total reward -438.34022295866464
episode 714, total reward -457.20692461539613
episode 715, total reward -585.0731630059614
episode 716, total reward -593.4917132070525
episode 717, total reward -651.3156103934939
episode 718, total reward -427.3354182218833
episode 719, total reward -472.71886920493887
episode 720, total reward -613.4420383783956
start test!
average_test_reward_sum = -538.686068649826
episode 721, total reward -380.27186696933245
episode 722, total reward -603.1390185601833
episode 723, total reward -662.410148190167
episode 724, total reward -631.4663095760819
episode 725, total reward -427.3998544600643
episode 726, total reward -256.40332837051665
episode 727, total reward -286.0854674375034
episode 728, total reward -332.63852477914287
episode 729, total reward -453.4879893353369
episode 730, total reward -500.5568315304817
episode 731, total reward -383.3771697108665
episode 732, total reward -581.412474993658
episode 733, total reward -394.78116046781463
episode 734, total reward -657.7948839456844
episode 735, total reward -371.8756927400982
episode 736, total reward -642.6428209328714
episode 737, total reward -419.78553034300205
episode 738, total reward -373.1019082294207
episode 739, total reward -531.3427555688356
episode 740, total reward -366.2274016543887
start test!
average_test_reward_sum = -568.3353773669126
episode 741, total reward -352.1139362595806
episode 742, total reward -249.4321522760885
episode 743, total reward -366.8633660530162
episode 744, total reward -402.8942676292903
episode 745, total reward -471.5533959386006
episode 746, total reward -264.50655409636914
episode 747, total reward -520.0116708629913
episode 748, total reward -390.89681016122387
episode 749, total reward -254.1602938832309
episode 750, total reward -501.62403989350526
episode 751, total reward -362.2695499503721
episode 752, total reward -348.9659794014852
episode 753, total reward -514.4328746975733
episode 754, total reward -261.92846245569353
episode 755, total reward -662.9350469957307
episode 756, total reward -293.73106135367
