****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
episode 618, total reward -438.3458452010865
episode 619, total reward -257.2536968856804
episode 620, total reward -377.0795172712639
start test!
average_test_reward_sum = -485.8256471686753
episode 621, total reward -576.4013641420971
episode 622, total reward -363.50032148025986
episode 623, total reward -456.9380442207437
episode 624, total reward -545.8598711532197
episode 625, total reward -658.8301367504055
episode 626, total reward -384.32111604659156
episode 627, total reward -568.3043779043744
episode 628, total reward -550.5616151371455
episode 629, total reward -267.7952642536723
episode 630, total reward -414.96914414233635
episode 631, total reward -659.6404810732055
episode 632, total reward -367.06404420918926
episode 633, total reward -515.2385270615109
episode 634, total reward -500.66797577790607
episode 635, total reward -545.5943179411462
episode 636, total reward -477.73565934279196
episode 637, total reward -478.118213558038
episode 638, total reward -472.59858657633595
episode 639, total reward -348.251880416131
episode 640, total reward -424.4289206899603
start test!
average_test_reward_sum = -511.89567761603746
episode 641, total reward -573.6620811895439
episode 642, total reward -365.8110264748778
episode 643, total reward -388.2762038416726
episode 644, total reward -628.3035461465504
episode 645, total reward -378.5669026899004
episode 646, total reward -640.7794350203206
episode 647, total reward -475.98561191979184
episode 648, total reward -503.7624934306388
episode 649, total reward -471.07041391868444
episode 650, total reward -363.05946721412107
episode 651, total reward -465.36004116437533
episode 652, total reward -468.50409088359
episode 653, total reward -364.1364724025392
episode 654, total reward -542.2156774021046
episode 655, total reward -480.0872770329233
episode 656, total reward -364.6721257474622
episode 657, total reward -350.0230927253853
episode 658, total reward -377.1524985748477
episode 659, total reward -513.5237893232309
episode 660, total reward -547.6577466267332
start test!
average_test_reward_sum = -502.270060951287
episode 661, total reward -584.0249730892467
episode 662, total reward -551.6857836596436
episode 663, total reward -374.8060352297768
episode 664, total reward -277.1357592934811
episode 665, total reward -360.6399272873318
episode 666, total reward -367.9328745632433
episode 667, total reward -355.4597833814941
episode 668, total reward -364.20449471048664
episode 669, total reward -648.2630777963669
episode 670, total reward -488.3074017892299
episode 671, total reward -360.6518789210351
episode 672, total reward -362.300405986276
episode 673, total reward -432.9669619464178
episode 674, total reward -256.0070883806884
episode 675, total reward -358.31705882056923
episode 676, total reward -333.5884599882394
episode 677, total reward -588.1426444392048
episode 678, total reward -446.57748422663946
episode 679, total reward -567.6871684792397
episode 680, total reward -327.0881495399469
start test!
average_test_reward_sum = -493.43741162842946
episode 681, total reward -508.53178115161234
episode 682, total reward -590.1755913209017
episode 683, total reward -468.18324961113876
episode 684, total reward -362.7159738705136
episode 685, total reward -434.3858322405558
episode 686, total reward -495.2141078836422
episode 687, total reward -440.5921467073095
episode 688, total reward -565.2708584003351
episode 689, total reward -362.75712210705456
episode 690, total reward -530.9283988696509
episode 691, total reward -685.4351383543968
episode 692, total reward -329.5327754202814
episode 693, total reward -474.541551946874
episode 694, total reward -469.22195559464103
episode 695, total reward -458.5825156313987
episode 696, total reward -365.1733429414628
episode 697, total reward -507.45739698538915
episode 698, total reward -369.4231285781265
episode 699, total reward -469.5095927233315
episode 700, total reward -382.03936230011504
start test!
average_test_reward_sum = -462.59091903907375
episode 701, total reward -371.895691792302
episode 702, total reward -378.04019439301356
episode 703, total reward -579.1641060039984
episode 704, total reward -251.7236616067572
episode 705, total reward -693.95879691085
episode 706, total reward -375.4422396781784
episode 707, total reward -351.3700835787278
episode 708, total reward -437.3356398436708
episode 709, total reward -502.21398654341573
episode 710, total reward -458.2254358741863
episode 711, total reward -653.584520632996
episode 712, total reward -471.68718588923224
episode 713, total reward -672.1096665697281
episode 714, total reward -460.3067742786786
episode 715, total reward -603.7885197163577
episode 716, total reward -383.81897460656313
episode 717, total reward -465.2221812121538
episode 718, total reward -465.84669860010155
episode 719, total reward -477.09712800648816
episode 720, total reward -630.1680493272992
start test!
average_test_reward_sum = -488.574391237473
episode 721, total reward -441.13193778187184
episode 722, total reward -492.6923144795246
episode 723, total reward -268.81603533471093
episode 724, total reward -465.7477252996307
episode 725, total reward -464.5933847424658
episode 726, total reward -368.71601953109837
episode 727, total reward -485.24493118175207
episode 728, total reward -498.6590717987119
episode 729, total reward -626.6089315694969
episode 730, total reward -643.9843199340056
episode 731, total reward -279.63360947723
episode 732, total reward -431.95774878183204
episode 733, total reward -573.2433615885727
episode 734, total reward -485.2063523624169
episode 735, total reward -364.414065479381
episode 736, total reward -460.1994565844559
episode 737, total reward -497.2080672332747
episode 738, total reward -478.3064272817888
episode 739, total reward -576.5232169405177
episode 740, total reward -439.2925855548153
start test!
average_test_reward_sum = -495.3939854850211
episode 741, total reward -447.89696009037846
episode 742, total reward -315.17841371715195
episode 743, total reward -428.2226340663532
episode 744, total reward -697.8695977671847
episode 745, total reward -257.4500545713456
episode 746, total reward -375.52196269451656
episode 747, total reward -342.5272984219961
episode 748, total reward -273.6288112528345
episode 749, total reward -364.35176514521305
episode 750, total reward -495.324698912655
episode 751, total reward -461.0327828213408
episode 752, total reward -362.26071279919097
episode 753, total reward -642.7431504141174
episode 754, total reward -651.5180945935055
episode 755, total reward -379.4621183920609
episode 756, total reward -473.3827513567342
episode 757, total reward -368.23372193429685
